Sequence_ID,Cluster_ID,SampleGroup,Terrain
IPB24G-234_NODE_65_length_3083_cov_7.620433,Cluster66,IPB24G-234,Mountain
IPB24G-232_NODE_3323_length_1260_cov_2.421889,Cluster66,IPB24G-232,Mountain
IPB24G-238_NODE_57_length_3476_cov_1.387578,Cluster66,IPB24G-238,Mountain
IPB24G-233_NODE_831_length_2940_cov_27.081763,Cluster66,IPB24G-233,Mountain
IPB24G-233_NODE_2632_length_1537_cov_16.709220,Cluster66,IPB24G-233,Mountain
IPB24G-235_NODE_1780_length_1201_cov_2.289572,Cluster66,IPB24G-235,Mountain
IPB24G-233_NODE_5459_length_1008_cov_46.007946,Cluster66,IPB24G-233,Mountain
IPB24G-238_NODE_408_length_1411_cov_1.115265,Cluster66,IPB24G-238,Mountain
IPB24G-232_NODE_14_length_30780_cov_192.043422,Cluster66,IPB24G-232,Mountain
IPB24G-233_NODE_2534_length_1572_cov_27.110035,Cluster66,IPB24G-233,Mountain
IPB24G-233_NODE_846_length_2910_cov_60.651815,Cluster66,IPB24G-233,Mountain
IPB24G-233_NODE_531_length_3749_cov_37.535064,Cluster66,IPB24G-233,Mountain
IPB24G-233_NODE_3536_length_1300_cov_45.533674,Cluster66,IPB24G-233,Mountain
IPB24G-232_NODE_1956_length_1687_cov_44.016667,Cluster66,IPB24G-232,Mountain
IPB24G-235_NODE_458_length_1779_cov_5.395884,Cluster66,IPB24G-235,Mountain
IPB24E-197_NODE_624_length_1114_cov_9.668693,Cluster67,IPB24E-197,Mountain
IPB4B-79_NODE_402_length_1342_cov_0.758025,Cluster67,IPB4B-79,Mountain
IPB24E-200_NODE_105_length_2287_cov_8.358796,Cluster67,IPB24E-200,Mountain
IPB4B-79_NODE_2322_length_1013_cov_1.179458,Cluster67,IPB4B-79,Mountain
IPB24E-197_NODE_465_length_1274_cov_7.504795,Cluster67,IPB24E-197,Mountain
IPB24E-196_NODE_6_length_30682_cov_94.729864,Cluster67,IPB24E-196,Mountain
IPB24E-197_NODE_263_length_1554_cov_10.793273,Cluster67,IPB24E-197,Mountain
IPB4B-79_NODE_1946_length_1047_cov_1.318478,Cluster67,IPB4B-79,Mountain
IPB4B-79_NODE_224_length_1459_cov_1.276276,Cluster67,IPB4B-79,Mountain
IPB24E-200_NODE_721_length_1149_cov_8.201566,Cluster67,IPB24E-200,Mountain
IPB24C-125_NODE_18_length_4500_cov_206.365653,Cluster68,IPB24C-125,Plain
IPB24C-60_NODE_6_length_2803_cov_3.474215,Cluster68,IPB24C-60,Plain
IPB24C-90_NODE_79_length_2107_cov_45.770202,Cluster68,IPB24C-90,Plain
IPB24C-125_NODE_380_length_1183_cov_10051.034091,Cluster68,IPB24C-125,Plain
IPB24C-60_NODE_5_length_4825_cov_2.261388,Cluster68,IPB24C-60,Plain
IPB24C-62_NODE_1_length_30590_cov_2859.135312,Cluster68,IPB24C-62,Plain
IPB24C-66_NODE_639_length_1079_cov_144.585084,Cluster68,IPB24C-66,Plain
IPB24C-84_NODE_1_length_11304_cov_4224.568042,Cluster68,IPB24C-84,Mesa
IPB24C-89_NODE_73_length_1188_cov_7.353440,Cluster68,IPB24C-89,Plain
IPB24C-95_NODE_1728_length_1053_cov_3.147948,Cluster68,IPB24C-95,Plain
IPB24C-83_NODE_69_length_1686_cov_14.302758,Cluster68,IPB24C-83,Plain
IPB24C-127_NODE_10_length_5409_cov_1354.072510,Cluster68,IPB24C-127,Plain
IPB24C-76_NODE_38_length_2310_cov_13.955566,Cluster68,IPB24C-76,Plain
IPB24C-106_NODE_2629_length_1104_cov_6.117707,Cluster68,IPB24C-106,Plain
IPB24C-86_NODE_255_length_1065_cov_31.923241,Cluster68,IPB24C-86,Plain
IPB24B-7_NODE_51_length_2223_cov_0.499046,Cluster68,IPB24B-7,Plain
IPB24C-119_NODE_491_length_1033_cov_3.501104,Cluster68,IPB24C-119,Plain
IPB24C-126_NODE_254_length_1224_cov_24.982680,Cluster68,IPB24C-126,Plain
IPB24C-126_NODE_192_length_1335_cov_621.091887,Cluster68,IPB24C-126,Plain
IPB24C-76_NODE_32_length_2605_cov_44.290557,Cluster68,IPB24C-76,Plain
IPB24C-96_NODE_4_length_7557_cov_6419.848991,Cluster68,IPB24C-96,Plain
IPB24B-9_NODE_12_length_3039_cov_139.462225,Cluster68,IPB24B-9,Plain
IPB24C-92_NODE_267_length_1110_cov_1077.838250,Cluster68,IPB24C-92,Plain
IPB24C-114_NODE_1286_length_1129_cov_1.868263,Cluster68,IPB24C-114,Plain
IPB24C-60_NODE_8_length_2395_cov_2.819224,Cluster68,IPB24C-60,Plain
IPB24D-56_NODE_87_length_1556_cov_13.315605,Cluster68,IPB24D-56,Mesa
IPB24B-2_NODE_28_length_1526_cov_0.334525,Cluster68,IPB24B-2,Mountain
IPB24B-12_NODE_123_length_1470_cov_828.574088,Cluster68,IPB24B-12,Plain
IPB24C-90_NODE_66_length_2213_cov_4542.898370,Cluster68,IPB24C-90,Plain
IPB24B-13_NODE_57_length_1100_cov_1.094553,Cluster68,IPB24B-13,Mountain
IPB24C-128_NODE_1_length_30548_cov_12018.543177,Cluster68,IPB24C-128,Plain
IPB24C-90_NODE_14_length_4328_cov_1078.535349,Cluster68,IPB24C-90,Plain
IPB24C-78_NODE_1108_length_1180_cov_5.019943,Cluster68,IPB24C-78,Plain
IPB24C-60_NODE_1_length_8057_cov_6.054098,Cluster68,IPB24C-60,Plain
IPB24C-86_NODE_61_length_1740_cov_26.220087,Cluster68,IPB24C-86,Plain
IPB24C-83_NODE_378_length_1068_cov_11.330499,Cluster68,IPB24C-83,Plain
IPB24C-97_NODE_65_length_2278_cov_6.142259,Cluster68,IPB24C-97,Plain
IPB24C-86_NODE_108_length_1393_cov_2.093207,Cluster68,IPB24C-86,Plain
IPB24C-127_NODE_387_length_1455_cov_118.597892,Cluster68,IPB24C-127,Plain
IPB24C-91_NODE_53_length_1521_cov_3695.074605,Cluster68,IPB24C-91,Plain
IPB24C-78_NODE_1048_length_1202_cov_5.035349,Cluster68,IPB24C-78,Plain
IPB24C-83_NODE_41_length_2014_cov_33.515103,Cluster68,IPB24C-83,Plain
IPB24C-76_NODE_1_length_11005_cov_95.267512,Cluster68,IPB24C-76,Plain
IPB24C-84_NODE_33_length_2541_cov_41.118061,Cluster68,IPB24C-84,Mesa
IPB24C-77_NODE_291_length_1554_cov_1.248774,Cluster68,IPB24C-77,Plain
IPB24C-125_NODE_540_length_1044_cov_4.465649,Cluster68,IPB24C-125,Plain
IPB24C-91_NODE_19_length_3330_cov_709.423665,Cluster68,IPB24C-91,Plain
IPB24C-86_NODE_282_length_1033_cov_6.853201,Cluster68,IPB24C-86,Plain
IPB24C-92_NODE_17_length_4521_cov_400.996814,Cluster68,IPB24C-92,Plain
IPB24C-83_NODE_34_length_2095_cov_12.331809,Cluster68,IPB24C-83,Plain
IPB24C-119_NODE_302_length_1183_cov_4.065341,Cluster68,IPB24C-119,Plain
IPB24C-128_NODE_22_length_1868_cov_14.419874,Cluster68,IPB24C-128,Plain
IPB24C-127_NODE_413_length_1434_cov_18.095639,Cluster68,IPB24C-127,Plain
IPB24C-78_NODE_663_length_1369_cov_7.657810,Cluster68,IPB24C-78,Plain
IPB24C-90_NODE_146_length_1675_cov_84.125969,Cluster68,IPB24C-90,Plain
IPB24C-83_NODE_22_length_2372_cov_26.450334,Cluster68,IPB24C-83,Plain
IPB24C-120_NODE_201_length_1755_cov_11.367936,Cluster68,IPB24C-120,Plain
IPB24C-84_NODE_9_length_5136_cov_1085.326612,Cluster68,IPB24C-84,Mesa
IPB24C-125_NODE_287_length_1303_cov_75.073980,Cluster68,IPB24C-125,Plain
IPB24C-126_NODE_130_length_1527_cov_30.445714,Cluster68,IPB24C-126,Plain
IPB24C-92_NODE_16_length_4560_cov_125.170765,Cluster68,IPB24C-92,Plain
IPB24C-127_NODE_17_length_4849_cov_87.248835,Cluster68,IPB24C-127,Plain
IPB24C-127_NODE_705_length_1198_cov_57.474323,Cluster68,IPB24C-127,Plain
IPB24C-92_NODE_82_length_1801_cov_8.755675,Cluster68,IPB24C-92,Plain
IPB24C-97_NODE_157_length_1522_cov_19.531183,Cluster68,IPB24C-97,Plain
IPB24C-83_NODE_11_length_2781_cov_72.792389,Cluster68,IPB24C-83,Plain
IPB24B-12_NODE_279_length_1104_cov_2931.876151,Cluster69,IPB24B-12,Plain
IPB24B-14_NODE_24_length_1430_cov_0.946278,Cluster69,IPB24B-14,Plain
IPB24C-92_NODE_275_length_1098_cov_60.065911,Cluster69,IPB24C-92,Plain
IPB24C-90_NODE_177_length_1570_cov_233.055440,Cluster69,IPB24C-90,Plain
IPB24C-112_NODE_594_length_1079_cov_2.890756,Cluster69,IPB24C-112,Plain
IPB24B-14_NODE_49_length_1117_cov_0.633333,Cluster69,IPB24B-14,Plain
IPB24C-104_NODE_2948_length_1064_cov_1.045891,Cluster69,IPB24C-104,Plain
IPB24B-1_NODE_267_length_1216_cov_0.267218,Cluster69,IPB24B-1,Mountain
IPB24C-126_NODE_4_length_8090_cov_7694.801080,Cluster69,IPB24C-126,Plain
IPB24B-15_NODE_1_length_2715_cov_0.327280,Cluster69,IPB24B-15,Plain
IPB24C-90_NODE_205_length_1464_cov_498.060583,Cluster69,IPB24C-90,Plain
IPB24B-12_NODE_4_length_5419_cov_4625.611111,Cluster69,IPB24B-12,Plain
IPB24B-14_NODE_8_length_2217_cov_1.102392,Cluster69,IPB24B-14,Plain
IPB24C-66_NODE_2_length_11902_cov_269.019873,Cluster69,IPB24C-66,Plain
IPB24C-89_NODE_19_length_2907_cov_39.438129,Cluster69,IPB24C-89,Plain
IPB24B-14_NODE_31_length_1262_cov_1.731278,Cluster69,IPB24B-14,Plain
IPB24B-14_NODE_6_length_2359_cov_0.679659,Cluster69,IPB24B-14,Plain
IPB24B-2_NODE_111_length_1069_cov_0.340764,Cluster69,IPB24B-2,Mountain
IPB24B-13_NODE_32_length_1405_cov_0.365415,Cluster69,IPB24B-13,Mountain
IPB24C-127_NODE_70_length_2441_cov_235.455488,Cluster69,IPB24C-127,Plain
IPB24C-86_NODE_20_length_2577_cov_22.199592,Cluster69,IPB24C-86,Plain
IPB24C-66_NODE_16_length_5176_cov_2084.685284,Cluster69,IPB24C-66,Plain
IPB24C-125_NODE_38_length_2877_cov_277.014545,Cluster69,IPB24C-125,Plain
IPB24B-13_NODE_53_length_1213_cov_0.739411,Cluster69,IPB24B-13,Mountain
IPB24C-91_NODE_11_length_4595_cov_2243.088854,Cluster69,IPB24C-91,Plain
IPB24C-119_NODE_508_length_1025_cov_5.087973,Cluster69,IPB24C-119,Plain
IPB24C-126_NODE_59_length_2080_cov_25.266769,Cluster69,IPB24C-126,Plain
IPB24C-89_NODE_66_length_1285_cov_7.664076,Cluster69,IPB24C-89,Plain
IPB24C-89_NODE_62_length_1316_cov_65.268293,Cluster69,IPB24C-89,Plain
IPB24D-56_NODE_11_length_3213_cov_16.360013,Cluster69,IPB24D-56,Mesa
IPB24B-10_NODE_1_length_30493_cov_828.887703,Cluster69,IPB24B-10,Plain
IPB24C-95_NODE_116_length_2120_cov_91.829403,Cluster69,IPB24C-95,Plain
IPB24C-108_NODE_3075_length_1086_cov_1.225235,Cluster69,IPB24C-108,Plain
IPB24C-128_NODE_6_length_4316_cov_8.419193,Cluster69,IPB24C-128,Plain
IPB24C-95_NODE_114_length_2132_cov_167.993017,Cluster69,IPB24C-95,Plain
IPB24C-126_NODE_17_length_4792_cov_6497.097535,Cluster69,IPB24C-126,Plain
IPB24C-76_NODE_17_length_3350_cov_1003.094322,Cluster69,IPB24C-76,Plain
IPB24C-123_NODE_100_length_1115_cov_78.983806,Cluster69,IPB24C-123,Plain
IPB24B-12_NODE_13_length_2694_cov_2412.557071,Cluster69,IPB24B-12,Plain
IPB24D-56_NODE_4_length_4418_cov_13.094617,Cluster69,IPB24D-56,Mesa
IPB24B-11_NODE_6_length_6940_cov_61.994569,Cluster69,IPB24B-11,Plain
IPB24C-99_NODE_959_length_1105_cov_3.059305,Cluster69,IPB24C-99,Plain
IPB24B-13_NODE_7_length_2035_cov_0.824423,Cluster69,IPB24B-13,Mountain
IPB24C-95_NODE_209_length_1837_cov_15.675439,Cluster69,IPB24C-95,Plain
IPB24C-128_NODE_30_length_1592_cov_6.375427,Cluster69,IPB24C-128,Plain
IPB24B-2_NODE_43_length_1401_cov_0.193878,Cluster69,IPB24B-2,Mountain
IPB24B-14_NODE_11_length_2043_cov_1.273486,Cluster69,IPB24B-14,Plain
IPB24C-125_NODE_5_length_6431_cov_5213.148794,Cluster69,IPB24C-125,Plain
IPB24C-96_NODE_1_length_23029_cov_7923.782988,Cluster69,IPB24C-96,Plain
IPB24C-125_NODE_118_length_1726_cov_9931.265166,Cluster69,IPB24C-125,Plain
IPB24C-92_NODE_299_length_1072_cov_3.124868,Cluster69,IPB24C-92,Plain
IPB24D-56_NODE_103_length_1494_cov_7.370154,Cluster69,IPB24D-56,Mesa
IPB24C-120_NODE_825_length_1193_cov_15.984053,Cluster69,IPB24C-120,Plain
IPB24C-68_NODE_144_length_1568_cov_2.563498,Cluster69,IPB24C-68,Plain
IPB24C-91_NODE_16_length_3600_cov_4101.143680,Cluster69,IPB24C-91,Plain
IPB24C-120_NODE_975_length_1138_cov_7.388724,Cluster69,IPB24C-120,Plain
IPB24C-86_NODE_220_length_1126_cov_283.134134,Cluster69,IPB24C-86,Plain
IPB24C-84_NODE_53_length_1786_cov_164.094033,Cluster69,IPB24C-84,Mesa
IPB24C-89_NODE_10_length_3526_cov_305.972051,Cluster69,IPB24C-89,Plain
IPB24C-112_NODE_390_length_1220_cov_5.921317,Cluster69,IPB24C-112,Plain
IPB24B-1_NODE_25_length_2930_cov_0.278273,Cluster69,IPB24B-1,Mountain
IPB24C-83_NODE_371_length_1074_cov_5.010560,Cluster69,IPB24C-83,Plain
IPB24B-8_NODE_99_length_2305_cov_0.297980,Cluster69,IPB24B-8,Plain
IPB24B-7_NODE_22_length_2965_cov_0.337562,Cluster69,IPB24B-7,Plain
IPB24B-14_NODE_61_length_1007_cov_0.255682,Cluster69,IPB24B-14,Plain
IPB24C-97_NODE_214_length_1334_cov_5.400994,Cluster69,IPB24C-97,Plain
IPB24C-95_NODE_29_length_3800_cov_253.070242,Cluster69,IPB24C-95,Plain
IPB24C-125_NODE_39_length_2801_cov_1102.067315,Cluster69,IPB24C-125,Plain
IPB24C-66_NODE_7_length_6741_cov_69.936045,Cluster69,IPB24C-66,Plain
IPB24C-83_NODE_217_length_1239_cov_20.765288,Cluster69,IPB24C-83,Plain
IPB24B-5_NODE_305_length_1337_cov_0.502479,Cluster69,IPB24B-5,Plain
IPB24C-90_NODE_91_length_1963_cov_14.392702,Cluster69,IPB24C-90,Plain
IPB24C-89_NODE_2_length_8782_cov_51.230618,Cluster69,IPB24C-89,Plain
IPB24B-12_NODE_18_length_2382_cov_2003.443016,Cluster69,IPB24B-12,Plain
IPB24C-126_NODE_202_length_1308_cov_800.160881,Cluster69,IPB24C-126,Plain
IPB24C-128_NODE_102_length_1007_cov_11.109091,Cluster69,IPB24C-128,Plain
IPB24C-86_NODE_272_length_1046_cov_207.099021,Cluster69,IPB24C-86,Plain
IPB24C-86_NODE_4_length_5332_cov_12503.299328,Cluster69,IPB24C-86,Plain
IPB24C-89_NODE_95_length_1018_cov_26.409652,Cluster69,IPB24C-89,Plain
IPB24C-92_NODE_302_length_1062_cov_2.412834,Cluster69,IPB24C-92,Plain
IPB24C-83_NODE_244_length_1209_cov_111.603512,Cluster69,IPB24C-83,Plain
IPB24B-7_NODE_393_length_1254_cov_0.368234,Cluster69,IPB24B-7,Plain
IPB24B-5_NODE_148_length_1681_cov_0.592021,Cluster69,IPB24B-5,Plain
IPB24C-91_NODE_1_length_11338_cov_7766.936313,Cluster69,IPB24C-91,Plain
IPB24C-83_NODE_431_length_1034_cov_6.158765,Cluster69,IPB24C-83,Plain
IPB24B-13_NODE_12_length_1782_cov_0.566767,Cluster69,IPB24B-13,Mountain
IPB24C-125_NODE_42_length_2725_cov_1097.529638,Cluster69,IPB24C-125,Plain
IPB24C-89_NODE_30_length_1950_cov_13.991223,Cluster69,IPB24C-89,Plain
IPB24C-66_NODE_11_length_5766_cov_408.109771,Cluster69,IPB24C-66,Plain
IPB24C-63_NODE_407_length_1087_cov_1.948958,Cluster69,IPB24C-63,Plain
IPB24B-9_NODE_15_length_2632_cov_84.471058,Cluster69,IPB24B-9,Plain
IPB24B-13_NODE_37_length_1332_cov_0.405809,Cluster69,IPB24B-13,Mountain
IPB24C-84_NODE_64_length_1620_cov_676.244474,Cluster69,IPB24C-84,Mesa
IPB24C-95_NODE_1584_length_1078_cov_110.077813,Cluster69,IPB24C-95,Plain
IPB24C-95_NODE_6_length_6203_cov_73.338874,Cluster69,IPB24C-95,Plain
IPB24C-89_NODE_6_length_4465_cov_89.510373,Cluster69,IPB24C-89,Plain
IPB24C-126_NODE_10_length_5719_cov_6992.023784,Cluster69,IPB24C-126,Plain
IPB24B-15_NODE_5_length_1741_cov_0.221190,Cluster69,IPB24B-15,Plain
IPB24C-95_NODE_20_length_4490_cov_155.177859,Cluster69,IPB24C-95,Plain
IPB24B-14_NODE_2_length_4130_cov_1.415938,Cluster69,IPB24B-14,Plain
IPB24C-68_NODE_138_length_1589_cov_3.056772,Cluster69,IPB24C-68,Plain
IPB24C-95_NODE_731_length_1328_cov_54.062448,Cluster69,IPB24C-95,Plain
IPB24B-9_NODE_16_length_2441_cov_89.095938,Cluster69,IPB24B-9,Plain
IPB24C-97_NODE_48_length_2820_cov_7.672856,Cluster69,IPB24C-97,Plain
IPB24B-11_NODE_4_length_7631_cov_4864.714019,Cluster69,IPB24B-11,Plain
IPB24C-92_NODE_23_length_3528_cov_3134.781241,Cluster69,IPB24C-92,Plain
IPB24B-13_NODE_28_length_1447_cov_0.566667,Cluster69,IPB24B-13,Mountain
IPB24C-83_NODE_86_length_1615_cov_166.279570,Cluster69,IPB24C-83,Plain
IPB24C-100_NODE_1_length_30561_cov_595.316028,Cluster69,IPB24C-100,Plain
IPB24C-90_NODE_4_length_8199_cov_4188.524529,Cluster69,IPB24C-90,Plain
IPB24C-66_NODE_45_length_2885_cov_21.722263,Cluster69,IPB24C-66,Plain
IPB24C-126_NODE_45_length_2340_cov_6685.575689,Cluster69,IPB24C-126,Plain
IPB24C-119_NODE_357_length_1119_cov_2.102823,Cluster69,IPB24C-119,Plain
IPB24C-90_NODE_287_length_1288_cov_598.829457,Cluster69,IPB24C-90,Plain
IPB24C-90_NODE_6_length_6872_cov_5424.356560,Cluster69,IPB24C-90,Plain
IPB24C-95_NODE_37_length_3095_cov_34.371294,Cluster69,IPB24C-95,Plain
IPB24B-7_NODE_556_length_1152_cov_0.247805,Cluster69,IPB24B-7,Plain
IPB24C-112_NODE_230_length_1406_cov_2.150117,Cluster69,IPB24C-112,Plain
IPB24B-12_NODE_7_length_4300_cov_3577.949676,Cluster69,IPB24B-12,Plain
IPB24B-7_NODE_457_length_1213_cov_0.252302,Cluster69,IPB24B-7,Plain
IPB24B-1_NODE_283_length_1191_cov_0.336466,Cluster69,IPB24B-1,Mountain
IPB24C-86_NODE_57_length_1801_cov_54.750299,Cluster69,IPB24C-86,Plain
IPB24C-99_NODE_263_length_1589_cov_1.696306,Cluster69,IPB24C-99,Plain
IPB24C-68_NODE_312_length_1090_cov_0.596054,Cluster69,IPB24C-68,Plain
IPB24C-86_NODE_23_length_2527_cov_23561.067917,Cluster69,IPB24C-86,Plain
IPB24C-86_NODE_139_length_1290_cov_60.337919,Cluster69,IPB24C-86,Plain
IPB24C-66_NODE_99_length_2001_cov_773.096585,Cluster69,IPB24C-66,Plain
IPB24C-127_NODE_98_length_2165_cov_2463.843474,Cluster69,IPB24C-127,Plain
IPB24B-14_NODE_42_length_1146_cov_1.039254,Cluster69,IPB24B-14,Plain
IPB24C-126_NODE_40_length_2545_cov_1485.646816,Cluster69,IPB24C-126,Plain
IPB24C-86_NODE_54_length_1820_cov_2556.007679,Cluster69,IPB24C-86,Plain
IPB24C-125_NODE_102_length_1830_cov_171.273048,Cluster69,IPB24C-125,Plain
IPB24C-89_NODE_55_length_1465_cov_110.251868,Cluster69,IPB24C-89,Plain
IPB24B-1_NODE_52_length_2047_cov_0.223958,Cluster69,IPB24B-1,Mountain
IPB24C-89_NODE_35_length_1777_cov_19.656970,Cluster69,IPB24C-89,Plain
IPB24C-84_NODE_37_length_2396_cov_80.256060,Cluster69,IPB24C-84,Mesa
IPB24C-86_NODE_14_length_3271_cov_2044.768766,Cluster69,IPB24C-86,Plain
IPB24C-68_NODE_266_length_1176_cov_3.172545,Cluster69,IPB24C-68,Plain
IPB24B-11_NODE_1_length_23100_cov_4493.716667,Cluster69,IPB24B-11,Plain
IPB24C-89_NODE_8_length_3797_cov_86.453951,Cluster69,IPB24C-89,Plain
IPB24C-125_NODE_133_length_1668_cov_2105.134328,Cluster69,IPB24C-125,Plain
IPB24C-97_NODE_1_length_30478_cov_2484.571678,Cluster69,IPB24C-97,Plain
IPB24C-125_NODE_365_length_1196_cov_988.843779,Cluster69,IPB24C-125,Plain
IPB24C-90_NODE_197_length_1494_cov_98.858815,Cluster69,IPB24C-90,Plain
IPB24B-12_NODE_9_length_3244_cov_2166.599615,Cluster69,IPB24B-12,Plain
IPB24C-92_NODE_109_length_1590_cov_797.548189,Cluster69,IPB24C-92,Plain
IPB24C-76_NODE_16_length_3694_cov_74.365013,Cluster69,IPB24C-76,Plain
IPB24C-92_NODE_19_length_4315_cov_929.639207,Cluster69,IPB24C-92,Plain
IPB24C-95_NODE_43_length_2887_cov_29.850362,Cluster69,IPB24C-95,Plain
IPB24C-90_NODE_362_length_1187_cov_8.904717,Cluster69,IPB24C-90,Plain
IPB24C-95_NODE_660_length_1367_cov_165.111290,Cluster69,IPB24C-95,Plain
IPB24C-128_NODE_12_length_2234_cov_7.392976,Cluster69,IPB24C-128,Plain
IPB24C-63_NODE_149_length_1487_cov_2.069118,Cluster69,IPB24C-63,Plain
IPB24C-125_NODE_29_length_3332_cov_2672.546022,Cluster69,IPB24C-125,Plain
IPB24C-126_NODE_389_length_1082_cov_10751.981152,Cluster69,IPB24C-126,Plain
IPB24C-63_NODE_27_length_3550_cov_1114.025124,Cluster69,IPB24C-63,Plain
IPB24C-83_NODE_127_length_1463_cov_312.789671,Cluster69,IPB24C-83,Plain
IPB24C-63_NODE_15_length_5135_cov_2121.352835,Cluster69,IPB24C-63,Plain
IPB24B-14_NODE_51_length_1110_cov_1.782299,Cluster69,IPB24B-14,Plain
IPB24C-125_NODE_66_length_2221_cov_7451.581662,Cluster69,IPB24C-125,Plain
IPB24B-13_NODE_44_length_1267_cov_0.314035,Cluster69,IPB24B-13,Mountain
IPB24C-126_NODE_38_length_2665_cov_7285.838455,Cluster69,IPB24C-126,Plain
IPB24B-13_NODE_65_length_1051_cov_0.208874,Cluster69,IPB24B-13,Mountain
IPB24C-68_NODE_112_length_1746_cov_2.340334,Cluster69,IPB24C-68,Plain
IPB24C-89_NODE_52_length_1509_cov_21.339363,Cluster69,IPB24C-89,Plain
IPB24C-66_NODE_482_length_1173_cov_368.740918,Cluster70,IPB24C-66,Plain
IPB24B-13_NODE_43_length_1270_cov_0.524059,Cluster70,IPB24B-13,Mountain
IPB24C-112_NODE_573_length_1092_cov_1.905699,Cluster70,IPB24C-112,Plain
IPB24C-95_NODE_700_length_1344_cov_14.701726,Cluster70,IPB24C-95,Plain
IPB24C-83_NODE_6_length_4738_cov_44.927781,Cluster70,IPB24C-83,Plain
IPB24C-68_NODE_245_length_1224_cov_2.438469,Cluster70,IPB24C-68,Plain
IPB24C-83_NODE_2_length_6154_cov_328.686079,Cluster70,IPB24C-83,Plain
IPB24B-9_NODE_118_length_1366_cov_116.409201,Cluster70,IPB24B-9,Plain
IPB24C-114_NODE_389_length_1537_cov_2.181560,Cluster70,IPB24C-114,Plain
IPB24C-63_NODE_35_length_3098_cov_1601.316055,Cluster70,IPB24C-63,Plain
IPB24C-92_NODE_65_length_2010_cov_27.007435,Cluster70,IPB24C-92,Plain
IPB24C-92_NODE_34_length_2787_cov_57.124436,Cluster70,IPB24C-92,Plain
IPB24C-78_NODE_982_length_1223_cov_5.450730,Cluster70,IPB24C-78,Plain
IPB24C-66_NODE_17_length_5090_cov_684.481564,Cluster70,IPB24C-66,Plain
IPB24C-78_NODE_1676_length_1034_cov_10.948181,Cluster70,IPB24C-78,Plain
IPB24C-99_NODE_363_length_1458_cov_4.570999,Cluster70,IPB24C-99,Plain
IPB24C-92_NODE_97_length_1692_cov_1118.403195,Cluster70,IPB24C-92,Plain
IPB24B-3_NODE_562_length_1075_cov_0.245781,Cluster70,IPB24B-3,Plain
IPB24C-66_NODE_174_length_1625_cov_2.949933,Cluster70,IPB24C-66,Plain
IPB24C-68_NODE_262_length_1184_cov_2.320719,Cluster70,IPB24C-68,Plain
IPB24C-92_NODE_106_length_1604_cov_460.254570,Cluster70,IPB24C-92,Plain
IPB24C-111_NODE_646_length_1284_cov_0.878997,Cluster70,IPB24C-111,Plain
IPB24C-77_NODE_18_length_4471_cov_2.631906,Cluster70,IPB24C-77,Plain
IPB24C-77_NODE_13_length_5145_cov_4.582304,Cluster70,IPB24C-77,Plain
IPB24C-125_NODE_478_length_1091_cov_132.492739,Cluster70,IPB24C-125,Plain
IPB24C-76_NODE_6_length_6622_cov_166.684834,Cluster70,IPB24C-76,Plain
IPB24C-84_NODE_3_length_8882_cov_1718.106111,Cluster70,IPB24C-84,Mesa
IPB24C-119_NODE_166_length_1367_cov_11.382258,Cluster70,IPB24C-119,Plain
IPB24C-89_NODE_18_length_2907_cov_40.849640,Cluster70,IPB24C-89,Plain
IPB24B-12_NODE_19_length_2382_cov_1461.457650,Cluster70,IPB24B-12,Plain
IPB24C-73_NODE_1_length_30421_cov_571.128144,Cluster70,IPB24C-73,Plain
IPB24B-11_NODE_2_length_13329_cov_97.273671,Cluster70,IPB24B-11,Plain
IPB24C-97_NODE_327_length_1161_cov_2.327853,Cluster70,IPB24C-97,Plain
IPB24B-9_NODE_221_length_1104_cov_1.542477,Cluster70,IPB24B-9,Plain
IPB24C-76_NODE_43_length_2257_cov_263.488263,Cluster70,IPB24C-76,Plain
IPB24C-95_NODE_10_length_5400_cov_99.413237,Cluster70,IPB24C-95,Plain
IPB24C-90_NODE_359_length_1188_cov_166.481621,Cluster70,IPB24C-90,Plain
IPB24C-117_NODE_1298_length_1036_cov_2.584158,Cluster70,IPB24C-117,Plain
IPB24B-9_NODE_4_length_3879_cov_40.675640,Cluster70,IPB24B-9,Plain
IPB24C-127_NODE_197_length_1732_cov_194.203738,Cluster70,IPB24C-127,Plain
IPB24C-63_NODE_485_length_1029_cov_4.708426,Cluster70,IPB24C-63,Plain
IPB24C-84_NODE_203_length_1011_cov_2.062217,Cluster70,IPB24C-84,Mesa
IPB24C-60_NODE_12_length_1603_cov_2.177507,Cluster70,IPB24C-60,Plain
IPB24C-77_NODE_43_length_2571_cov_7.764321,Cluster70,IPB24C-77,Plain
IPB24C-77_NODE_6_length_8596_cov_10.264140,Cluster70,IPB24C-77,Plain
IPB4B-15_NODE_16_length_2470_cov_0.507042,Cluster71,IPB4B-15,Mountain
IPB4B-14_NODE_96_length_1475_cov_0.408754,Cluster71,IPB4B-14,Plain
IPB4B-6_NODE_1_length_30393_cov_248.403753,Cluster71,IPB4B-6,Mesa
IPB4B-15_NODE_5_length_4105_cov_0.647813,Cluster71,IPB4B-15,Mountain
IPB4B-15_NODE_3219_length_1050_cov_0.592633,Cluster71,IPB4B-15,Mountain
IPB4B-36_NODE_1144_length_1154_cov_0.650438,Cluster71,IPB4B-36,Mesa
